Time,Displacement,Force
0.939,0.0735,0.0338
0.94,0.0736,0.0338
0.941,0.0737,0.0338
0.942,0.0738,0.0339
0.943,0.0739,0.0339
0.944,0.074,0.0339
0.945,0.074,0.0339
0.946,0.0741,0.0339
0.947,0.0742,0.034
0.948,0.0743,0.034
0.949,0.0744,0.034
0.95,0.0745,0.0341
0.951,0.0745,0.0341
0.952,0.0746,0.0341
0.953,0.0747,0.0341
0.954,0.0748,0.0342
0.955,0.0749,0.0342
0.956,0.0749,0.0342
0.957,0.075,0.0342
0.958,0.0751,0.0343
0.959,0.0752,0.0343
0.96,0.0753,0.0343
0.961,0.0753,0.0344
0.962,0.0754,0.0344
0.963,0.0755,0.0344
0.964,0.0756,0.0344
0.965,0.0757,0.0345
0.966,0.0757,0.0345
0.967,0.0758,0.0345
0.968,0.0759,0.0345
0.969,0.076,0.0346
0.97,0.0761,0.0346
0.971,0.0761,0.0346
0.972,0.0762,0.0347
0.973,0.0763,0.0347
0.974,0.0764,0.0347
0.975,0.0765,0.0348
0.976,0.0765,0.0348
0.977,0.0766,0.0348
0.978,0.0767,0.0349
0.979,0.0768,0.0349
0.98,0.0769,0.0349
0.981,0.0769,0.035
0.982,0.077,0.035
0.983,0.0771,0.035
0.984,0.0772,0.0351
0.985,0.0773,0.0351
0.986,0.0774,0.0351
0.987,0.0774,0.0352
0.988,0.0775,0.0352
0.989,0.0776,0.0352
0.99,0.0777,0.0353
0.991,0.0778,0.0353
0.992,0.0779,0.0353
0.993,0.0779,0.0354
0.994,0.078,0.0354
0.995,0.0781,0.0354
0.996,0.0782,0.0355
0.997,0.0783,0.0355
0.998,0.0784,0.0356
0.999,0.0785,0.0356
1,0.0786,0.0356
1.001,0.0787,0.0357
1.002,0.0787,0.0357
1.003,0.0788,0.0357
1.004,0.0789,0.0358
1.005,0.079,0.0358
1.006,0.0791,0.0358
1.007,0.0792,0.0359
1.008,0.0793,0.0359
1.009,0.0794,0.036
1.01,0.0795,0.036
1.011,0.0795,0.036
1.012,0.0796,0.0361
1.013,0.0797,0.0361
1.014,0.0798,0.0361
1.015,0.0799,0.0362
1.016,0.08,0.0362
